country_code,country_name,ppp,exchange_rate,PLI,EuroValue
ZWE,Zimbabwe,9.97161059254851,3266.3319125,0.30528466976634944,252.8086267582753
NGA,Nigeria,185.191872670853,1478.96519740023,12.521719442512163,6.16357829196822
EGY,"Egypt, Arab Rep.",6.24782044764882,45.29926,13.792323423492615,5.595764815268558
PAK,Pakistan,66.8569695048092,278.580716167563,23.99913763757988,3.215890474878213
IND,India,20.4456693184455,83.669281580941,24.436291231527452,3.1583597282720763
TJK,Tajikistan,2.67931126140168,10.7994916666667,24.809605341624923,3.1108353829593605
NPL,Nepal,33.5637990824022,133.726644315443,25.098812023750295,3.074990085624469
BLR,Belarus,0.817945059184378,3.24619166666667,25.19706607540766,3.062999394572795
BGD,Bangladesh,29.8787867104655,115.603653796648,25.845884389626324,2.986107844890047
GMB,"Gambia, The",17.6792566912748,67.661238258942,26.12907647893709,2.953743818546316
UZB,Uzbekistan,3367.64393969072,12652.2868209739,26.61687952021544,2.899611056035605
RWA,Rwanda,355.085581602396,1318.12835733333,26.93861941645502,2.8649797133568424
TZA,Tanzania,730.424331119855,2597.90041666667,28.115948033799242,2.7450114092260045
TLS,Timor-Leste,0.282269484031079,1.0,28.226948403107897,2.734216856593917
VNM,Viet Nam,6956.92750425086,24164.8858333333,28.78940770601283,2.6807984006515415
MDG,Madagascar,1309.42142437646,4525.42472099152,28.93477419484211,2.667330237805767
AZE,Azerbaijan,0.493544786967812,1.7,29.032046292224233,2.6583933270544353
UKR,Ukraine,11.6654001368824,40.152082715,29.053038717028855,2.6564724910770754
ZMB,Zambia,7.65107091283453,26.1664187812257,29.240038450825917,2.6394834693455875
AGO,Angola,256.498886900301,869.846189590008,29.487843939535885,2.617302176864379
THA,Thailand,10.4918757581114,35.2935380808081,29.72746947072633,2.5962047731639184
IDN,Indonesia,4747.90857563225,15855.4482866711,29.94496585519808,2.577348009251014
TUN,Tunisia,0.936914382772163,3.10745,30.150585939344577,2.559771086679654
KGZ,Kyrgyz Republic,26.3240076204654,87.1503126405883,30.20529338664195,2.5551348614980176
MYS,Malaysia,1.40230118921937,4.5764279106858,30.641828443206663,2.518733445591592
CMR,Cameroon,191.11230450422,606.345297609063,31.518724604249897,2.44865866569924
GNB,Guinea-Bissau,191.274049136647,606.345297609063,31.54539993810089,2.446588037730572
DZA,Algeria,43.0061894174414,134.053241666667,32.081424427153635,2.4057098309095215
TGO,Togo,195.271917948991,606.345297609063,32.20473857371138,2.3964982034347266
GEO,Georgia,0.880167854386657,2.72061666666667,32.35177763815762,2.385606101686212
LSO,Lesotho,5.94038127259512,18.3286575505,32.41034569077356,2.381295123178993
NIC,Nicaragua,11.9751457059146,36.6243,32.69726849636607,2.3603989471647115
MLI,Mali,199.052170256603,606.345297609063,32.82818734498384,2.350985673468118
UGA,Uganda,1237.35474469908,3757.2625354215,32.93234723509333,2.343549871590732
KHM,Cambodia,1342.76777541905,4072.39723921642,32.97241640595491,2.340701912282222
KEN,Kenya,44.9343532165407,134.822483279332,33.32853106068626,2.3156915614868745
SWZ,Eswatini,6.11835634325957,18.3176868310856,33.401359023545254,2.3106424525894202
BEN,Benin,203.098489252852,606.345297609063,33.49551650746014,2.3041471271773077
SUR,Suriname,11.1731451518139,33.1805516666667,33.67377753106643,2.291949516586955
PHL,Philippines,19.35653268202,57.2906550699734,33.78654452175212,2.2842998367085454
BFA,Burkina Faso,206.705433338539,606.345297609063,34.09038284845592,2.2639404924571
SEN,Senegal,206.923043592064,606.345297609063,34.126271681829095,2.261559623434603
TCD,Chad,208.006357227884,606.345297609063,34.30493450647567,2.2497812412210125
KAZ,Kazakhstan,160.928533328233,468.9625,34.31586391838004,2.249064698401676
PRY,Paraguay,2618.66324027066,7560.24758837744,34.63726828598045,2.2281952923297554
MKD,North Macedonia,19.9145059028598,56.8726333333333,35.015972948078385,2.204096920237648
MNG,Mongolia,1187.78509119944,3389.98152022101,35.03809929683636,2.202705046302353
TUR,Turkiye,11.554529,32.8058614432703,35.22092849163777,2.191270969824327
COG,"Congo, Rep.",214.207575920898,606.345297609063,35.327655176936304,2.184651026156146
CIV,Cote d'Ivoire,214.691686543874,606.345297609063,35.407495925250004,2.1797248327562837
BOL,Bolivia,2.47085352241269,6.91,35.75764866009681,2.1583801235820803
NER,Niger,217.484011080956,606.345297609063,35.86801315002155,2.1517388713776024
COL,Colombia,1500.145281,4074.43416666667,36.81849355360384,2.0961910899917857
BRN,Brunei Darussalam,0.496042451660227,1.33603327650724,37.128001254356406,2.0787167508762305
ARM,Armenia,146.274215922544,392.729551399084,37.24553331967194,2.072157148927735
GUY,Guyana,77.9760925992236,208.5,37.39860556317679,2.0636758235172152
BWA,Botswana,5.08184454491831,13.5631333333333,37.46807186823833,2.059849741011323
NAM,Namibia,6.92131935620122,18.3286583333333,37.762280415330814,2.043801308743294
MOZ,Mozambique,24.3364573196456,63.905,38.08224289123793,2.0266295332027786
GAB,Gabon,231.683817083262,606.345297609063,38.209881068895264,2.019859679616003
MUS,Mauritius,17.7457676842579,46.414675,38.233096933799274,2.0186331823346495
GNQ,Equatorial Guinea,232.828458225939,606.345297609063,38.39865818107714,2.0099295597786795
MAR,Morocco,3.85270833400844,9.94235921679198,38.75044393388516,1.991682940862927
MNE,Montenegro,0.358213882096042,0.924367447270267,38.75232551231407,1.991586236791385
XKX,Kosovo,0.362374835859874,0.924367447270267,39.202466176193965,1.9687179318542907
FJI,Fiji,0.8897046963262,2.2683,39.22341384852974,1.9676665175557468
