one_usd_to_currency,currency,one_eur_to_currency
3.6726,AED,4.352587304183348
64.999999,AFN,77.03484463849324
81.537673,ALL,96.63449335959629
382.133348,AMD,452.8859007269719
1.79,ANG,2.1214211388357547
915.3776669999999,AOA,1084.861191503886
1456.114943,ARS,1725.7167713155418
1.4408,AUD,1.707566244041651
1.8024999999999998,AWG,2.1362355322633784
1.6999999999999997,AZN,2.0147575061568617
1.649838,BAM,1.9553079379075438
2.0,BBD,2.3703029484198375
123.17687,BDT,145.9832490690635
1.65052,BGN,1.956116211212955
0.37848,BHD,0.44855612995897004
2986.289048,BIF,3539.204867654135
1.0,BMD,1.1851514742099187
1.276562,BND,1.5129193362203623
6.965287,BOB,8.254920156345182
5.256943,BRL,6.230273746287512
1.0,BSD,1.1851514742099187
1.2943975e-05,BTC,1.5340571053386333e-05
92.564017,BTN,109.70238120634198
13.189084,BWP,15.631062346078451
2.870977,BYN,3.40254262397277
2.027247,BZD,2.402594770637635
1.361185,CAD,1.6132104094224284
2292.177469,CDF,2716.5775065361104
0.773536,CHF,0.9167573307544437
0.021943,CLF,0.026005778798588248
867.66417,CLP,1028.3134701946256
6.9602699999999995,CNH,8.248974251399071
6.9517500000000005,CNY,8.238876760838803
3671.152292,COP,4350.871550912922
499.134954,CRC,591.5505265628
1.0,CUC,1.1851514742099187
93.015303,CVE,110.23722347453229
20.531061,CZK,24.33241721124377
179.493026,DJF,212.72642437429926
6.301156,DKK,7.467824322626674
63.318904,DOP,75.04249242095632
47.178059,EGP,55.91314617421252
15.000000000000002,ERN,17.777272113148783
0.843774,EUR,1.0
2.20522,FJD,2.6135197339571974
0.73073,FKP,0.8660257367494139
0.73073,GBP,0.8660257367494139
2.695,GEL,3.193983222995731
0.73073,GGP,0.8660257367494139
11.022776,GHS,13.063659226285711
0.73073,GIP,0.8660257367494139
73.000001,GMD,86.51605880247554
8825.788927,GNF,10459.896757899627
7.731241,GTQ,9.162691668622166
210.881934,GYD,249.9270349643388
7.811855,HKD,9.258231469564125
26.57607,HNL,31.496668539205995
6.358345,HRK,7.535601950285265
131.916132,HTG,156.34059831187025
321.451907,HUF,380.9692014686397
16777.589951,IDR,19883.98546411717
3.090445,ILS,3.6626454477146724
0.73073,IMP,0.8660257367494139
91.700542,INR,108.67903253714857
1318.509497,IQD,1562.6334741293285
42086.0,IRR,49878.28494359864
122.303199,ISK,144.94781659543906
0.73073,JEP,0.8660257367494139
157.956907,JMD,187.20286119268903
0.709,JOD,0.8402723952148323
155.2386,JPY,183.9812556442839
129.908997,KES,153.9618393076819
87.45,KGS,103.6414964196574
4047.142559,KHR,4796.476970136553
414.999788,KMF,491.83761054500377
900.0,KPW,1066.636326788927
1450.785567,KRW,1719.4006534925227
0.307483,KWD,0.36441393074448847
0.840019,KYD,0.9955497562143417
